,sentence
47,오픈마켓 입점이 아닌 브랜드 차원에서 자체적으로 진출한 경우에도 성공사례가 잇따르고 있다.
48,일본 국민 아이돌 ‘아라시’부터 유명 기획사 ‘쟈니스’ 소속 아이돌 그룹 스노우맨 등 인기 연예인이 널디 제품을 착용하면서 젊은층 사이에서 입소문을 탔다.
49,이 같은 K패션의 인기는 K콘텐츠 영향으로 일본인들이 한국 패션을 많이 참고하기 때문인 것으로 보인다.
50,큐텐재팬 관계자는 일본 이커머스 기업이 K패션을 판매하는 셀러 모시기에 공을 들이고 있다며 품질 좋은 K패션을 판매할 수 있는 셀러 확보가 시급해졌다고 말했다.
51,신승훈은 데뷔 앨범 타이틀곡 미소 속에 비친 그대로 대히트를 일으켜 천재로 인정받는다.
52,수면무호흡증이 있는 환자의 경우 자칫 큰 위험을 불러올 수 있다는 경고다.
53,폐쇄성 수면 무호흡증은 잠을 자다가 갑자기 숨이 멈추는 증상으로 가장 흔한 수면장애 중 하나다.
54,다스굽타 교수는 구강 테이핑의 이점에 대한 증거는 제한적이라며 구강 테이프를 붙이기 전에 전문의의 진단을 먼저 받아야 한다고 설명했다.
55,이 같은 경고가 나옴에도 SNS에서는 구강 테이프의 효과만을 강조하는 영상이 다수 올라올 뿐 위험성은 언급되지 않고 있다.
56,연예인들이 수면의 질 개선 등 구강 테이프의 효과를 봤다고 주장하는 내용이다.
57,실제 구강 테이프는 신경을 자극해 의식적 무의식적으로 입을 다물고 코로 숨을 쉬는 데 도움을 줄 수 있다.
58,수면 중 코 호흡이 중요한 이유는 코가 공기를 정화하고 습도를 조절하는 역할을 하기 때문이다.
59,반면 입으로 호흡하면 목이 건조해져 통증이 동반될 수 있고 호흡기관이 망가질 우려가 있다.
60,코슬립수면클리닉에 따르면 숨이 막힐 때는 빨리 입을 벌려서라도 숨을 쉬어줘야 하는데 입을 막고 있으면 바로 입을 벌리기 힘들어 수면무호흡증과 같은 상황에서 적절히 대처할 수 없다.
61,다스굽타 교수는 구강 테이핑을 시도하기로 결정했다면 연쇄 살인범의 인질처럼 수평으로 테이핑하지 마시라며 수직으로 약간만 붙이면 된다고 조언했다.
62,스트리밍 서비스인 티빙을 통해 매주 금요일 공개되며 환승연애에 과몰입한 다수의 환친자(환승연애에 미친 사람)를 만들어내는 중이다.
63,특히 마지막회를 앞두고 펼쳐지는 극과 극의 기류들과 출연자들의 행복을 진심으로 바라게 되는 시청자들의 마음도 이어지는 바.
64,시청자들의 아픈 손가락이던 출연자 성해은이 새로운 남자 정현규 X 정규민 사이에서 갈등하고 눈물을 흘리는 모습들이 과몰입의 정점을 찍게 만들기도 했다.
65,이들에 더해 이나연도 X인 남희두와의 관계에서 고통받는 모습이 보여지며 온라인 상에서는 이들의 관계를 두고 여러 토론이 벌어지고 게시물이 만들어지는 등 시청자들의 관심도 연신 높아졌다.
66,환승연애 시리즈는 티빙을 예능 맛집으로 만들었다고 해도 과언이 아닐 정도.
67,이 역시 당초 예상했던 신청 인원을 훨씬 뛰어넘어 관을 추가할 정도로 인기를 누리고 있는 상황이다.
68,여기에 예능 프로그램으로는 이례적으로 제작진의 코멘터리와 하이라이트를 담는 특별판도 마련된 상황.
69,tvN JTBC국내 예능프로그램에서 자기 전 입에 붙이는 구강 테이프의 효과를 홍보하는 장면이 다수 방영됐다.
70,미국에서는 구강 테이프 사용을 권장하는 영상이 소셜미디어 등을 통해 무분별하게 확산 중이라고 한다.
71,하지만 폐쇄성 수면 무호흡증이 있으면 구강 테이프 사용이 위험할 수 있기 때문에 사용 전 의료진의 진단을 받는 것이 안전하다.
72,폐쇄성 수면 무호흡증은 잠을 자다가 갑자기 숨이 멈추는 증상으로 가장 흔한 수면장애 중 하나다.
73,라지 다스굽타 교수는 “구강 테이핑의 이점에 대한 증거는 제한적이라며 구강 테이프를 붙이기 전에 전문의의 진단을 먼저 받아야 한다고 강조했다.
74,하지만 소셜미디어에서 확산 중인 다수의 영상에서 구강 테이프의 위험성은 언급되지 않았다고 CNN은 짚었다.
75,매체가 살펴본 관련 틱톡(TikTok) 영상에는 구강 테이프의 이점만 담겨 있을 뿐 해로울 수 있다는 내용이 전혀 없었다는 것.
76,연예인들이 수면의 질 개선 등 구강 테이프의 효과를 봤다고 주장하는 내용이다.
77,실제 구강 테이프는 신경을 자극해 의식적 무의식적으로 입을 다물고 코로 숨을 쉬는 데 도움을 줄 수 있다.
78,수면 중 코 호흡이 중요한 이유는 코가 공기를 정화하고 습도를 조절하는 역할을 하기 때문이다.
79,반면 입으로 호흡하면 목이 건조해져 통증이 동반될 수 있고 호흡기관이 망가질 우려가 있다.
80,코슬립수면클리닉에 따르면 숨이 막힐 때는 빨리 입을 벌려서라도 숨을 쉬어줘야 하는데 입을 막고 있으면 바로 입을 벌리기 힘들어 수면무호흡증과 같은 상황에서 적절히 대처할 수 없다.
81,라지 다스굽타 교수는 “이러한 문제는 구강 테이핑 전에 먼저 평가되고 해결돼야 한다며 “코 스트립(nasal strip) 내비확장기구(internal nasal dilators) 등 구강 테이프 외에 코골이를 해결할 수 있는 다른 많은 옵션이 있다고 밝혔다.
82,그러면서 “구강 테이핑을 시도하기로 결정했다면 범죄자의 인질처럼 수평으로 테이핑하지 마시라며 “수직으로 약간만 붙이면 된다고 조언했다.
83,헤럴드POP정한비 기자 사진MBC 방송 화면 캡쳐유재석이 어르신들과 화투 게임을 했다.
84,화투 선수들을 다른 어르신들이 둘러싸고 있는 생소한 풍경에 어리둥절해 하던 유재석은 어서 와서 앉으라는 성화에 얼떨떨 하면서도 “제가 화투를 좀 친다며 “안 봐드리겠다는 자신감을 보였다.
85,“제가 타짜라며 설욕에 나섰지만 고군분투하던 유재석은 “연예인 밀어주는 것이라는 어르신들의 말에 “전 연예인이 아니라 타짜라며 자존심을 부려 웃음을 줬다.
86,이후 몰래 자신의 패를 빼내는 부회장님의 모습을 포착한 유재석은 “동작 그만이라며 일어났고 당황한 부회장님은 돌려두려 했다.
87,“아니 제가 먹은 걸 가져가면… 이거 내 건데 왜 가져가요라고 따지는 유재석에 부회장님은 “이거 훔쳐간 지가 언젠데 아깐데라며 웃어 폭소를 자아냈다.
88,이하늘은 자신의 계정에 여자친구와 함께 찍은 사진을 공개하는 등 행복한 일상을 함께 전했다.
89,라이브 방송에서는 여자친구와 다정하게 손을 잡은 모습이 공개됐고 이에 팬들은 축하한다 잘 어울린다라며 두 사람을 응원하는 마음을 전했다.
90,결혼 계획에 대해서도 구체적인 계획을 세우는 단계는 아니라고 말한 것으로 전해졌다.
91,방송에서 두 사람은 재결합 의지가 없다고 전했고 절친한 관계를 이어가고 있어 시선을 모았다.
92,이하늘은 박유선의 이사를 도와주는 등 친구같은 끈끈함을 자랑했고 박유선에게 너 이제 돌아다니면 이 방송 본 사람들은 내 전 아내인 거 다 알 텐데 꼬리표 달리는 거 아니냐.
93,내가 잘못한 게 많다라고 말했고 박유선은 좋은 사람 생기면 진짜 만났으면 하는 바람이라고 응원을 전하기도 했다.
94,그러자 이상준은 발끈하며 “공부하기 싫어서 연예인 됐는데 또 공부를 시켜요?라고 말한다.
95,이상준은 시험을 마친 뒤 만족스러운 점수를 받지 못하자 “사람을 종이로 평가하는 제도는 없어져야 합니다라고 토로한다.
96,미디어 엔터테인먼트 그룹 IHQ 자체 제작 프로그램 ‘자급자족원정대’는 이만기·윤택·이상준·허안나가 출연 지역 곳곳을 다니며 특산물을 자급자족해 요리를 선보이는 ‘자급자족 라이프’ 예능이다.
97,다시 보기는 IHQ에서 운영하는 OTT(온라인 동영상 서비스) ‘바바요’(babayo)를 통해 가능하다.
98,tvN 새 월화드라마 ‘연예인 매니저로 살아남기’(연출 백승룡 극본 박소영 이찬 남인영)는 일은 프로 인생은 아마추어인 연예인 매니저들의 하드코어 직장 사수기다.
99,대한민국 최고의 스타들과 일하는 ‘프로 매니저’이지만 자기 인생에 있어서는 한낱 ‘아마추어’인 사람들의 일 사랑 욕망이 대형 연예 매니지먼트사 ‘메쏘드 엔터’를 배경으로 리얼하게 펼쳐진다.
100,먼저 이미지의 중심에 자리잡고 있는 마태오는 총괄이사로서 회사의 든든한 기둥 역할을 한다.
101,왼쪽으로는 절친 케미를 자랑하는 천제인과 김중돈이 자리 팀장 매니저에 걸맞은 여유로운 모습을 보이고 있다.
102,무엇보다 포스터를 통해 베일을 벗은 메쏘드 엔터의 또 다른 인물들도 주목해야 한다.
103,메쏘드의 대모이자 명예이사 심명애(심소영 분) 사무총괄 매니저 유은수(김국희 분) 홍보담당 매니저 최진혁(김태오 분) 배우를 꿈꾸는 안내 데스크 직원 강희선(황세온 분) 그리고 현장 매니저 최원재(최연규 분)는 각자의 개성으로 무장해 이야기에 다채로움을 더할 예정이다.
104,내 배우를 더욱 더 밝게 빛내기 위해 혼신의 힘을 다하는 그 열정과 고군분투는 이들의 직장 라이프를 열렬히 응원하게 만들 예정이다.
105,‘연예인 매니저로 살아남기’는 프랑스에서 인기리에 방영되며 ‘국민 드라마’로 등극한 동명의 시리즈가 원작이다.
106,‘SNL 코리아’ ‘쌉니다 천리마마트’를 통해 대중의 재미 포인트를 꿰뚫으면서도 독특하고 신선한 연출 세계를 펼쳐낸 백승룡 감독이 연출을 맡았다.
107,여기에 ‘멜로홀릭’ ‘회사 가기 싫어’ 등 여러 장르까지 아우르는 박소영 작가가 메인 집필을 맡았고 예능 프로그램에서 활약하던 작가진이 팀으로 합류 ‘빅재미’와 공감을 모두 잡을 예정이다.
108,이어 괜히 나 때문에 이것저것 일이 커지는 것 같아 죄송한 마음이라며 과분한 관심이 힘들어서 당분간 비공개로 운영하겠다고 했다.
109,특히 이날 결혼식에는 가수 규현 세븐 소유 김희철 이하늘 배우 고준희 개그맨 유세윤 등이 참석했고 이병헌 이민정 이진욱 지현우 김종국 등이 축전을 보낸 것으로 알려져 화제를 모았다.
110,이를 두고 과거 학교 폭력 갑질 논란 등으로 구설에 오른 하늘의 결혼식에 유명 연예인들이 참석하고 축전을 보낸 것이 부적절하다는 여론이 나왔다.
111,일부에선 대다수의 연예인들은 하늘이라는 유튜버를 잘 모르고 남편의 지인으로 참석한 것인데 문제될 것 있냐는 목소리도 나왔다.
112,* 아래 텍스트는 실제 영상 내용과 차이가 있을 수 있으니 영상으로 확인하시기 바랍니다.
113,대화라도 해야 되는데 그냥 거의 정치평론가가 야당에 앞장서서 비판하던 그런 날선 것을 하는 것을 보면 정작 해야 될 것을 안 하고 딴 짓을 한다며 그런 학생 있지 않습니까?
114,그러니까 점수가 좋을 리가 있나요이재오 머리 좋은 사람들은 그래요물론 대통령의 의지는 이해가 가요.
115,그런데 지금 막 결론도 안 나고 이 사람 저 사람 각각 얘기하는데 되겠습니까?이재오대통령의 의지나 의욕은 충분히 이해를 하겠는데 저게 모든 방송에 다 생중계한 거예요?앵커거의 대부분의 방송 YTN 포함해서 생중계를 했습니다이재오YTN도 생중계하고?이상민그러니까 얼마나 낭비예요 그게이재오뭐 의도는 충분히 이해가 가나 저거야말로 보여주기식 전형이죠.
116,티저에서 조아영은 따스한 햇살이 내리쬐는 한옥에서 누군가에게 편지를 쓰는 모습을 보여줬다.
117,하동근은 그런 조아영을 떠올리는 듯 책을 읽다가 생각에 잠기는 표정을 지어보였다.
118,촬영 후 조아영은 연기가 처음이라 짧은 촬영인데도 어색했으나 즐거운 추억이 되었다.
119,길상화라는 노래의 의미와 멜로디가 깊은 여운을 남기는 만큼 많은 분들이 듣고 사랑해주시길 바란다고 밝혔다.
120,이번 뮤비 출연을 계기로 팬이 되었는데 앞으로도 꾸준히 응원하겠다라고 덧붙였다.
121,두 사람이 호흡을 맞춘 길상화는 천재 시인 백석과 기생 자야(법명 길상화)의 미완으로 끝난 사랑 이야기를 모티프로 한 발라드 곡이다.
122,스타 작곡가인 황찬희 대표가 설립한 찬스라인 작곡가 팀이 작사 작곡에 참여했으며 김종국의 한 남자부터 크러쉬의 뷰티풀(드라마 도깨비 OST) 등을 작곡한 명품 발라드 제조기 황찬희 대표가 프로듀서로 나서 곡의 퀄리티를 높였다.
123,공개된 메이킹 영상에는 설레는 마음으로 첫 촬영에 임한 메쏘드 엔터 식구들의 모습이 담겼다.
124,첫 촬영임에도 불구 총괄이사이자 실세 ‘마태오’ 역의 이서진은 냉철하게 문제를 파악하며 상황을 압도 탑 매니저의 노련함을 보여줬다.
125,또 다른 팀장 매니저 ‘김중돈’ 역의 서현우는 “바이크 의상 헬멧들이 중돈 다운 모습을 만들어 주는 것 같아 행복하다며 귀여운 캐릭터에 푹 빠져든 열연을 선보였다.
126,그래서 첫 촬영을 많이 기다렸다는 신입 매니저 ‘소현주’ 역의 주현영 역시 모두의 시선을 집중시키는 에너지로 그 설렘을 담아냈다.
127,저마다의 개성을 지닌 캐릭터에 완벽하게 체화된 이들의 ‘미친 열연’에 백승룡 감독 또한 입을 다물지 못했다는 후문이다.
128,특히 메쏘드 엔터 식구들이 함께할수록 배가되는 웃음과 케미스트리는 ‘연예인 매니저로 살아남기’를 더욱 기대하게 만드는 포인트다.
129,곽선영 또한 “첫 촬영임에도 굉장히 분위기도 좋고 마치 오랜 시간 같이 촬영했던 것처럼 진행됐다고 설명할 정도로 초지일관 화기애애한 분위기를 이끌었기 때문.
130,만나기만 하면 현장은 웃음바다가 되는 이들의 환상적인 케미스트리는 보는 이들의 광대 또한 치솟게 만들면서 본 방송에 대한 무한한 기대를 끌어올린다.
131,제작진은 “웃음이 끊이질 않았던 ‘연예인 매니저로 살아남기’의 첫 촬영 현장이 공개됐다.
132,현장에서의 유쾌한 에너지가 본 방송에서는 배로 전해질 것이다라며 “모든 배우들이 본인들도 몸담고 있는 엔터테인먼트 업계를 더더욱 리얼하게 표현하게 위해 열연을 아끼지 않고 모두 쏟아냈다.
133,얼마 남지 않은 첫 방송까지 예비 시청자 여러분의 많은 기대와 관심 부탁드린다고 전했다.
134,이날 김혜수씨는 저축·투자 부문에서 대통령 표창을 받았으며 박보검 씨는 국무총리 표창을 차승원 씨는 금융위원장 표창을 각각 받았다.
135,류이서 채널헤럴드POP배재련 기자 가수 전진의 아내 류이서가 청순미 넘치는 일상을 공유해 화제다.
136,공개된 사진 속 류이서는 남편 전진과 함께 운동을 마치고 카페를 방문해 데이트를 하고 있는 모습.
137,최근 연예계에 본격 데뷔한 류이서는 소멸 직전의 작은 머리를 인증 팬들의 감탄사를 자아냈다.
138,유명 작곡가 돈스파이크 등 유명 작곡가 아이돌 출신 연예인 등의 마약 투약사건이 잇따라 터지면서 우리 사회의 마약 확산 실태에 대한 경각심도 커지고 있다.
139,이런 가운데 마약 투약으로 사회적 물의를 일으켰던 연예인들이 은근슬쩍 방송에 복귀하면서 시민들의 분노를 사고 있다.
140,네티즌들은 사회적으로 물의를 일으켰던 연예인들이 하나둘씩 은근슬쩍 방송에 복귀하는 것이 자라나는 청소년들에게 좋지 않은 영향을 미칠 것이라는 반응을 보이고 있다.
141,그에 따라 그룹 아이콘에서 탈퇴했고 소속사 YG엔터테인먼트 전속 계약도 해지됐다.
142,WET 제작진은 실력있는 한국 DJ들이 국내를 넘어 세계에서도 사랑받을 수 있도록 DJ들의 글로벌 진출의 발판이 되어주고자 기획된 프로그램이라며 해외에 영향력을 가진 아티스트이자 프로듀서로서 역량이 뛰어난 뮤지션인 비아이를 MC로 발탁했다고 소개했다.
143,그러나 인터넷에선 이렇게 빨리 복귀해도 괜찮냐며 그의 방송연예계 복귀를 비난하는 목소리가 뜨겁다.
144,국제범죄 중점 검찰청인 인천지검은 대검 지시로 마약범죄 특별수사팀을 꾸리고 경찰·해양경찰·관세청과 함께 공조 수사를 강화하고 있다.
145,com *재판매 및 DB 금지 *재판매 및 DB 금지서울뉴시스장인영 인턴 기자 이별도 리콜이 되나요?에서 연예인과 교제했던 리콜녀의 사연이 공개된다.
146,이 때문에 X와 예전처럼 평범한 연애를 하는 것이 불가능했고 리콜녀는 계속해서 현실의 벽과 부딪힌다.
147,보고 싶을 때 마음대로 볼 수 없고 일방적으로 X에게 맞춰주는 연애에 지쳐간 리콜녀는 미국으로 훌쩍 떠나버린다.
148,미국에서 학업에 매진한 리콜녀는 승무원이 되고 시간이 흘러 비행기 안에서 승무원과 승객 사이로 X와 마주한다.
149,제작진은 리콜녀가 찾는 X의 정체에 대해 모두의 관심이 집중되는 가운데 여전히 X에 대한 애틋한 마음을 가지고 있는 리콜녀가 이별 리콜에 성공할 수 있을지 지켜봐 달라고 전했다.
150,부친이 운영하는 호텔에 놀러 온 코미디언들의 숙박을 책임지며 가까워졌고 이들을 통해 차츰 연예계 인맥을 넓혀나갔다고 한다.
151,강씨는 연예인이 호텔 근처로 놀러 오면 숙박부터 차량 대절 식사까지 도맡아 환심을 샀다고 이진호는 전했다.
152,이하늘과는 이후 제주도에서 동거까지 했는데 이 시기 수많은 연예인을 소개받았다고 한다.
153,이 과정에서 강씨는 지드래곤의 어머니와 먼저 친해졌고 이후에는 지드래곤과도 가까워졌다고 말했다.
154,이어 특히 지드래곤은 몽상드애월에서 파티를 연 적이 있는데 여기에 강씨까지 초대해 많은 연예인을 소개해줬다.
155,강씨는 원래도 인맥이 넓었는데 지드래곤을 통해 톱스타들과도 친분이 생겼다고 밝혔다.
156,다만 카페를 운영하는 과정에서 생긴 마찰로 현재는 사업에서 손을 뗀 것으로 전해졌다.
157,특히 결혼식엔 배우 이병헌 이진욱 홍석천 지현우 이민정 이제훈 가수 싸이 슈퍼주니어 비 김종국 등 연예인 수백명이 축전 영상을 보내 화제가 됐다.
158,여기에 전주(錢主)에게 승부조작과 관련된 정보를 전달해 이중의 수입을 챙기기도 했다.
159,장르와 매체를 가리지 않고 활약하고 있는 윤기원은 예능 프로그램에서도 존재감을 보였다.
160,‘복면가왕’ ‘불타는 청춘’을 비롯해 최근에는 ‘돌싱포맨’ ‘미운우리새끼’들에 출연해 입담과 몸개그로 웃음을 선사했다.
161,손호영은 양정원을 만나자마자 박력 있게 어깨동무를 하는 등 자연스러운 스킨십을 했다.
162,양정원은 편한 트레이닝복 차림으로 나온 손호영의 패션을 지적했고 옷 가게로 데려가 평소 손호영의 스타일과 반대되는 화려한 옷들을 추천했다.
163,양정원은 손호영의 바지까지 직접 접어주는 등 적극적으로 코디를 해줬고 손호영은 옷까지 선물해 미묘한 분위기를 자아냈다.
164,손호영은 “한 번 여사친이 되면 설렘 포인트가 생길 수 있을지 궁금하다라고 털어놨고 이에 다른 출연자들은 “여사친이 애인으로 발전할 수 있다며 관계 발전을 기대했다.
165,양정원은 “오빠가 짜증을 내거나 화를 내거나 기분이 언짢은 모습을 한 번도 못 봤다.
166,이에 손호영은 “안 그래도 이런 말을 듣고 감정 표현을 하려고 노력하고 있다.
167,양정원은 여러 사람이 있을 때 마음에 드는 한 사람에게만 특별하게 대하라며 손호영의 매너를 호감으로 착각할 수 있다고 지적했다.
168,주변 동료들이 자신을 피할 정도로 오해를 받았다는 손호영은 “서로 얘기하다가 ‘너한테도 그랬어?’라고 얘기하면서 갑자기 나랑 연락이 안 되고 나를 피하더라.
169,유튜버 겸 사업가 하늘이 초호화 연예인 하객으로 관심을 받자 이를 해명했다.
170,괜히 저 때문에 이것저것 일이 커지는 것 같아 죄송한 마음이라고 글을 적었다.
171,이어 “과분한 관심이 힘들어 당분간 (SNS를) 비공개로 운영하겠다라고 게재한 뒤 비공개로 전환했다.
172,유튜버 겸 사업가 하늘이 초호화 연예인 하객으로 관심을 받자 이를 해명했다.
173,또 이병헌 이진욱 지현우 이제훈 이민정 싸이 비 다이나믹 듀오 김희철 크러쉬 김재중 이민우 백현 윤도현 박재범 송민호 등도 결혼 축하 영상을 보내 화제가 됐다.
174,이진호는 “연예인이나 방송국이 제주도 촬영을 오면 대부분 이들 형제들에게 도움을 받는다.
175,전북도 제공전북도가 전북 출신 연예인을 명예 홍보대사로 위촉해 고향사랑기부제와 대규모 국제행사 등을 홍보한다.
176,명예 홍보대사는 고향사랑기부제와 관련한 유튜브 영상 촬영과 아태마스터스 홍보행사에 참여할 예정이다.
177,이와 같은 이니셜 보도는 상대를 특정하지 않는다는 이유로 사실 확인이나 반론 취재가 부실하며 무엇보다 자극적이다.
178,가수 사생활 담은 찌라시 근원지는…가수 측도 강경대응 얼마 전 가수 비의 사생활 의혹을 담은 지라시가 퍼졌다.
179,다만 레인컴퍼니 측은 구체적 고소 대상과 혐의 등은 밝히기 어렵다고 했다.
180,인터넷 매체에서 연예인 이니셜 지라시성 보도가 나오며 포털 사이트에서도 관련 내용이 유통됐다.
181,대표적으로 뉴스엔 여의도 휴지통 스포츠서울 연예가 레이더가 네이버 뉴스를 통해 유통되고 있다.
