,sentence
16,벌써 십여년이 지난 방송이지만 MBC ‘무한도전’의 ‘한일 여자복서’ 편은 모두가 기억할 것이다.
17,WBC세계 챔피언인 한국의 최현미와 이에 도전하는 일본의 쓰바샤가 사력을 다해 싸운 경기였다.
18,여자 권투선수들 간의 친선 경기인 줄 알았던 시청자들은 (상투적인 표현이지만) 혼신을 다한 그녀들의 집념과 부서지는 체력 그리고 부어터진 눈을 지켜보며 가슴을 쓸어내렸다.
19,결국 경기는 최현미의 판정승으로 끝났지만 진심전력을 다한 두 선수 모두 승자였다.
20,지금에야 다양한 장르가 결합하는 컨버전스 예능이 흔하지만 당시의 커뮤니티 댓글에는 김태호PD가 한국 예능의 패러다임을 바꿨다는 글이 넘쳤다.
21,시청자들의 포인트는 결국 ‘선수들은 진심전력을 다하는데 왜 예능으로 장난쳐?’이다.
22,제작진의 사과문 또한 ‘선수 및 감독님의 진정성을 훼손하지 않도록 편집에 각별한 주의를 기울이겠다’였다.
23,이 가운데 성공한 스포츠 예능을 찬찬히 들여다보면 진심 전력을 그대로 보여준다.
24,예능의 즉자성 패관문학적 기질을 드러내다 대중 콘텐트가 사회를 투영하며 민심을 반영하는 것은 자연스럽다.
25,그 근간이 창의성이라는 관점에서는 구전설화에 윤색을 더한 고려와 조선시대에 걸쳐진 패관문학이 떠오른다.
26,저자 미상도 많지만 대부분 민중이 만들어 낸 패관문학은 서민들의 생활에 시대적 결핍과 사회구조적 문제 등을 업은 채 한국 고대소설의 전신이 되었다.
27,하나의 대중 콘텐트가 세상에 나오기까지 필요한 자본과 소요시간 같은 현실성을 고려하면 영화나 드라마보다 시대를 즉자적으로 반영하는 것은 오히려 예능일지 모르겠다.
28,스포츠 예능이 우리에게 던지는 질문 왜 지금 우리는 예능 안에서까지 진심 전력을 원하는가.
29,그리고 스포츠 예능은 서른살 차이에 가까운 선수를 같은 팀 또는 서로 다른 팀에 배치하며 세대 간의 갈등을 우정과 스포츠맨십으로 끌어안고 있다.
30,스포츠 예능이 진심전력을 하지 않는 우리 사회를 반추하고 있는 건 아닐까 곱씹어본다.
31,정치·경제·사회·문화 지금 대한민국에서 진심전력을 안 하는 곳은 어디인가.
32,세컨하우스 제공OSEN박판석 기자 새 예능 프로그램 ‘세컨 하우스’의 첫 촬영 스틸컷이 공개됐다.
33,‘잉꼬부부’ 최수종-하희라와 ‘연예계 절친’ 주상욱-조재윤이 시골의 빈집을 수개월 동안 직접 고치고 꾸미며 셀프 안식처를 완성하는 과정을 생생하게 전달할 계획이다.
34,특히 푸르름이 가득한 배경을 뒤로하고 다정한 포즈를 취하고 있는 ‘잉꼬부부’ 최수종-하희라가 보는 이들로 하여금 따뜻한 미소를 짓게 해 훈훈함을 안긴다.
35,또한 공사 현장으로 보이는 곳에서 안전화를 신고 있는 최수종-하희라의 모습도 흥미롭다.
36,하희라를 보며 특유의 화사한 미소를 짓고 있는 최수종의 모습이 담긴 매력 만점 투 샷은 사랑스러움을 더한다.
37,이와 함께 ‘잉꼬부부’의 세컨 하우스는 어떻게 탄생하게 될지 궁금증을 유발한다.
38,두 사람은 자연 속에서 한껏 여유가 묻어나는 밝은 표정을 짓는가 하면 안전모를 쓴 채 환한 미소를 지으며 리모델링의 생생한 현장감을 전한다.
39,이어 시골길의 아름드리나무 앞에서 다정한 포즈를 취하고 있는 주상욱-조재윤의 모습이 웃음을 투척한다.
40,특히 주상욱의 어깨에 살짝 기댄 조재윤의 장난기 어린 미소가 화기애애한 분위기를 극대화시키며 본 방송에서 어떤 재미를 안기게 될지 궁금해진다.
41,무엇보다 시골의 빈집을 직접 리모델링하며 전원생활의 로망을 이뤄가는 과정이 어떻게 그려질지 기대되는 상황.
42,‘전국노래자랑’ 김신영이 숨길 수 없는 흥과 끼로 전국 팔도에서 맹활약을 펼친다.
43,앞서 김신영은 고(故) 송해의 뒤를 이어 ‘전국노래자랑’의 MC로 발탁돼 화제를 모았다.
44,전 국민의 사랑을 받았던 프로그램인 만큼 대중의 뜨거운 관심을 받은 가운데 김신영은 “가문의 영광이다.
45,‘전국노래자랑’ 김신영이 숨길 수 없는 흥과 끼로 전국 팔도에서 맹활약을 펼친다.
46,김신영은 ‘일요일의 막내딸’로 큰절과 함께 출사표를 던지며 큰절과 함께 “새싹으로 생각해 주시고 많은 자양분 부탁드린다라고 인사했다.
47,이날 김신영은 무대를 꾸민 시민 출연진들과 재치 넘치는 티키타카를 주고받으면서 분위기를 끌어올림과 동시에 즉석에서 무대를 꾸미는 등 관객들의 뜨거운 호응을 이끌어냈다.
48,오랜 방송경력과 더불어 천부적인 예능감이 더해지면서 완성된 김신영 특유의 진행은 ‘전국노래자랑’에서도 빛을 발하면서 자연스럽게 프로그램에 녹아들었다.
49,또 다른 누군가는 가슴 한 켠에 묻어뒀던 전 연인에 대한 마음을 인정했다.
50,모두의 눈시울을 붉히게 했던 성해은이 전 연인 정규민을 선택할지 자신을 아껴주는 새로운 인연 정현규의 손을 잡을지 초유의 관심이 모였던 터다.
51,자신이 아닌 다른 여성을 바라보는 X 때문에 이불을 뒤집어쓰고 엉엉 울곤 했는데 시청자들로 하여금 더욱 몰입하는 계기가 됐다.
52,후반부 투입된 정현규는 누나 내일 봬요라는 유행어를 남기면서 성해은을 향해 직진했는데 여성 시청자들의 대거 유입을 이끌어냈다.
53,대다수의 시청자들이 원하던 결말이면서 여느 영화 드라마 못지 않은 전개였다.
54,방송 내내 지독하게 싸우는 모습으로 팬들을 양성했던 남희두와 이나연은 과거의 과오를 잊고 새롭게 변화하기로 약속했다.
55,이나연은 정규민과 남희두를 두고 끝까지 고민했지만 아직 이 관계를 놓을 준비가 안 됐다는 말과 함께 남희두를 선택했다.
56,남희두도 자신의 마음을 다시 인정하고 이지연이 아닌 이나연을 향해 진심을 드러냈다.
57,정현규의 X 박나언은 모두의 예상처럼 김태이에 대한 여전한 마음을 고백했고 커플이 되고자 결심했다.
58,연애 예능들이 무릇 외치는 이 진정성은 방송이 끝난 후 연예계 혹은 SNS 인플루언서로 본격 활동하는 이들로 인해 다소 훼손된 것도 사실이다.
59,여기에 X룸 등 다양한 장치가 지난 시즌보다 추가됐고 출연자들의 마음을 흔들어놓았다.
60,특히 일부 출연자는 대본과 연출을 의심받을 정도로 로맨틱한 면모를 보였다.
61,프로그램 제목처럼 이 곳은 환승을 할 수 있는 장소이지만 내리지 않는 것은 자신의 선택이다.
62,출연자들은 솔직하게 자신의 감정을 가감없이 드러냈고 보는 이들의 안타까움도 배가됐다.
63,일부 커플이 초반 중도 하차했으나 제작진은 보호를 이유로 하차 이유를 밝히지 않았다.
64,또 출연자들이 묵고 있는 숙소가 위생 논란에 휩싸였는데 이진주 PD는 앞서 진행된 인터뷰를 통해 며칠의 이미지가 확대됐다.
65,티빙은 생방송 스트리밍 팬들의 단체 관람 이벤트를 열었지만 공개 예정 시각을 지키지 못해 비판을 받았다.
66,각자 다른 사연으로 헤어지고 또 다시 만났던 연인들은 누구보다 솔직했고 또 사랑에 대한 신념을 피력했다.
67,사랑의 영역을 떠나서 과거를 뒤로 한 채 앞으로 나아가는 청춘들의 모습이 응원을 받았다.
68,재판매 및 DB 금지 (서울연합뉴스) 강애란 기자 김우진 인턴기자 지식과 교양을 쌓는 열공 모드 형식의 예능 강연 프로그램들이 쏟아지고 있다.
69,역사와 문화 스포츠뿐만 아니라 국·영·수를 가르쳐주는 예능 강연까지 등장했다.
70,콘텐츠가 넘쳐나는 시대에 지식을 압축적으로 흡수하고 싶어하거나 온라인 강연에 익숙한 젊은 세대들을 겨냥한 포맷이라는 분석이 나온다.
71,지난달에는 KBS조이 내일은 천재가 이달에는 MBN 그리스 로마 신화- 신들의 사생활(이하 신들의 사생활)이 새롭게 시청자들을 만났고 다음 달에는 MBC TV 일타강사가 방송을 시작한다.
72,신들의 사생활은 고전 필독서 그리스 로마 신화 속 숨겨진 지혜 유머 교양을 전하는 프로그램이다.
73,한국사 스타강사 설민석과 서울대 인문학연구원 김헌 교수가 자칫 딱딱할 수 있는 신화 이야기에 기상천외한 신들의 두뇌 싸움 인간과 신 사이에 벌어진 막장 로맨스 등 재미를 유발하는 에피소드를 함께 소개한다.
74,여기에 크리에이티브 디렉터 한젬마가 강연 내용이 녹아든 명화를 보여주며 그림 분석도 곁들인다.
75,재판매 및 DB 금지 한 인물의 일대기를 그리거나 도시의 흥망성쇠를 전하는 스토리텔링으로 세계사를 전한 tvN 벌거벗은 세계사는 스핀오프 프로그램도 나왔다.
76,KBS조이 내일은 천재는 배우 김광규 스포츠인 곽윤기 김태균 골든차일드 이장준이 나와 학창 시절 배움에 대한 공백을 메꾼다.
77,첫 강사로는 월드컵 해설위원 박문성이 나서 대한민국 첫 한일전 뒷이야기와 관련된 역사적 사건을 소개한다.
78,패널로는 코미디언 이용진 홍현희 배우 김호영이 출연해 강의 내용을 유쾌하게 전할 예정이다.
79,연이은 강연 예능의 등장에 시청자들은 복잡한 내용을 쉽게 풀어내 흥미로울 뿐만아니라 유명 강사를 TV에서 만나게 돼 반갑다는 반응이다.
80,사진KBS 방송화면 캡처파이낸셜뉴스 “‘폐쇄성 수면 무호흡증‘이 있으시다면 맞습니다.
81,이것은 굉장히 위험할 수 있습니다 국내 예능프로그램에서 수면을 취하기 전 입에 붙이는 구강 테이프의 효과를 보여주는 장면이 여러 차례 방영됐다.
82,미국에서는 구강 테이프 사용을 권장하는 영상이 소셜 미디어에서 확산 중이라고 한다.
83,그러나 ‘폐쇄성 수면 무호흡증’이 있으면 구강 테이프 사용이 위험할 수 있기 때문에 사용 전 의료진의 진단을 받는 것이 안전하다는 분석이 나왔다.
84,폐쇄성 수면 무호흡증은 잠을 자다가 갑자기 숨이 멈추는 증상으로 가장 흔한 수면장애 중 하나다.
85,다스굽타 교수는 “구강 테이핑의 이점에 대한 증거는 제한적이라며 “구강 테이프를 붙이기 전에 전문의의 진단을 먼저 받아야 한다고 강조했다.
86,하지만 CNN은 최근 틱톡을 중심으로 퍼지고 있는 다수의 영상에 구강 테이프의 이점만 담겨있을 뿐 위험성은 전혀 언급되지 않았다고 지적했다.
87,CNN이 인터뷰한 한 여성은 “나는 구강 테이프를 사용해 매일 밤 입을 닫고 잔다며 “제대로 자는 것은 노화 방지에도 굉장히 중요하고 최고의 감정을 느끼게 해준다고 밝혔다.
88,그러나 다른 한 여성은 구강 테이프를 사용하기 시작한 이유조차 기억하지 못했다.
89,연예인들이 수면의 질 개선 등 구강 테이프의 효과를 봤다고 주장하는 내용이 담긴 것.
90,한 방송에서는 구강 테이프가 목 건조함을 막기 위한 가수들의 필수 아이템으로 소개되기도 했다.
91,실제로 구강 테이프는 신경을 자극해 의식적 무의식적으로 입을 다물고 코로 숨을 쉬는 데 도움을 줄 수 있다.
92,수면 중 코 호흡이 중요한 이유는 코가 공기를 정화하고 습도를 조절하는 역할을 하기 때문이다.
93,반면 입으로 호흡하면 목이 건조해져 통증이 동반될 수 있고 호흡기관이 망가질 우려가 있다.
94,코슬립수면클리닉에 따르면 숨이 막힐 때는 빨리 입을 벌려서라도 숨을 쉬어줘야 하는데 입을 막고 있으면 바로 입을 벌리기 힘들어 수면무호흡증과 같은 상황에서 적절히 대처할 수 없다.
95,다스굽타 교수는 “구강 테이핑을 시도하기로 결정했다면 연쇄 살인범의 인질처럼 수평으로 테이핑하지 마시라며 “수직으로 약간만 붙이면 된다고 조언했다.
96,쿠팡플레이 ‘사내연애’ 캡처위너 멤버 송민호의 동생이 ‘사내연애’에 출연한다.
97,공개된 예고편 속 훈훈한 비주얼을 자랑하는 출연진들 사이 송민호 동생 송단아는 단연 눈길을 끌었다.
98,대박이다 “송단아 전부터 매력 있다고 생각했다 “이렇게 보니 느낌이 색다르다며 기대감을 표출했다.
99,윤식당은 연예인들이 해외에서 작은 식당을 열고 운영하는 이야기를 담은 예능 프로그램이다.
100,이어 홍수아가 연기 예능 등 다양한 장르에서 활동을 펼쳐 나갈 수 있도록 물심양면 지원을 아끼지 않을 예정이라며 전폭적인 지지를 약속했다.
101,홍수아는 중국 드라마 억만계승인 온주양가인 중국 영화 원령 목격자 : 눈이 없는 아이 등에서 활약했다.
102,또한 홍수아는 현재 동아TV 뷰티앤부티 그리고 SBS 골 때리는 그녀들에서 FC 불나방의 최전방 공격수로서 맹활약하며 배우 MC 예능 등 다양한 분야를 아우르는 연예계 대표 만능 엔터테이너의 행보를 이어가고 있다.
103,타조엔터테인먼트에 새롭게 둥지를 튼 그가 앞으로 어떤 새로운 활약과 매력을 보여줄지 기대된다.
104,한편 타조엔터테인먼트에는 가수 김혜연과 윙크 박서진 하디 코미디언 정태호와 이현정 배우 주명 서민균 강진휘 진성 등 다채로운 분야의 아티스트들이 소속돼 있다.
105,이데일리 스타in 김보영 기자 자칭 정통 강남파 배우 윤병희가 ’전참시‘를 통해 첫 리얼리티 예능 도전에 나선다.
106,윤병희는 가죽 라이더 재킷에 선글라스까지 장착해 패셔니스타다운 면모를 드러낸다.
107,이어 단골 카페에서 ‘최애 메뉴’를 구입한 윤병희는 오토바이를 타고 한강 공원으로 향하는데.
108,윤병희는 한강 뷰가 아닌 풀이 무성한 ‘병희만의 존(Zone)’에 도착해 참견인들의 시선을 사로잡는가 하면 간식 먹방 후 대뜸 진지한 표정으로 복싱 연습에 돌입해 지켜보던 참견인들을 당황 시킨다.
109,또한 데뷔 이래 첫 시상식에 참석하게 된 윤병희는 한강 곳곳에서 무한 레드카펫 연습에 몰두해 웃음을 자아냈다는 후문이다.
110,철두철미한 연습으로 무사히 레드카펫 행사를 마칠 수 있을지 본방송에 대한 기대감을 더욱 증폭시킨다.
111,(엑스포츠뉴스 김예나 기자) 그룹 다비치 강민경이 남다른 예능감의 비결을 밝혔다.
112,강민경은 최근 코스모폴리탄 코리아 공식 유튜브를 통해 바쁘다 바빠 PO행동파WER 강민경(Kang Minkyung)의 갓생 치트키는?
113,이번 영상에서 강민경은 유튜버로 활약하게 된 계기를 묻자 가벼운 생각으로 시작했다.
114,러프한 콘텐츠를 많이 올렸는데 구독자들이 많이 생기니까 영상에 대한 결이나 퀄리티나 책임감이 늘어나더라고 밝혔다.
115,이어 다른 분들한테 맡기지 않고 직접 편집하는 이유는 기다리는 시간이 너무 고통스럽더라.
116,무한도전을 통해 배운 예능의 편집점들이 저도 모르게 쌓아온 것 같다고 전했다.
117,하이브 제공군 입대를 앞두고 그룹 활동을 일시 중단한 방탄소년단(BTS) 멤버들이 TV 예능 프로그램에 잇달아 출연하며 본격적인 솔로 활동을 전개하고 있다.
118,방탄소년단의 TV 예능 프로그램 출연은 이들이 글로벌 슈퍼스타가 된 이후로는 드문 일이어서 관심을 모은다.
119,올 겨울 방송 예정인 이 프로그램은 tvN의 알아두면 쓸데없는 신비한 잡학사전 알아두면 쓸데있는 범죄 잡학사전의 뒤를 잇는 것으로 문학·물리학·법의학·천문학 등 다양한 분야의 사람들에 대해 각 출연자들이 이야기를 나누는 방식으로 진행된다.
120,다독가로 알려진 RM은 남다른 지적·예술적 호기심을 팬들과 공유하는 것으로 유명하다.
121,이 프로그램에는 RM과 장항준 감독 외에도 소설가 김영하 물리학자인 김상욱 경희대 물리학과 교수 법의학자인 이호 전북대 법의학교실 교수 천문학자인 심채경 박사가 함께 출연한다.
122,김상욱 교수는 이날 자신의 소셜미디어에 사실 이미 (알쓸인잡) 촬영이 진행 중이라면서 알쓸인잡 론칭도 비밀이었지만 RM 참여가 극비 중의 극비라 우리끼리 그분 혹은 미스터 엑스라고 불렀다고 적었다.
123,방탄소년단 멤버 진(오른쪽)이 SBS 예능 프로그램 런닝맨에 출연해 고정 출연자인 지석진과 포즈를 취하고 있다.
124,SBS 제공주로 소속사 하이브가 제작하는 영상물에 출연하던 방탄소년단의 외부 예능 프로그램 출연은 진이 물꼬를 텄다.
125,하지만 도시의 집 한 채 마련도 어려운 현실에서 세컨 하우스는 어찌 보면 비현실적이지 않을까 생각하실 수도 있는데 그 꿈을 ‘시골의 빈집으로 실현해보자’는 것이 큰 틀이다.
126,촬영하면서 들었던 얘기인데 시골에 빈집이 하나 생기면 언젠가는 그 옆집도 비게 된다고 하더라.
127,바로 이 시골 빈집을 세컨 하우스로 활용해서 진정한 휴식이 함께하는 공간으로 만드는 거다.
128,나아가 귀농이나 귀촌에 대한 경험도 해보고 더 거시적으로는 사라져 가는 시골 마을 공동체까지도 부활하게 되는 밑거름이 되면 좋겠다는 생각이다.
129,-최수종-하희라 부부와는 전작 ‘살림하는 남자들’에서 호흡을 맞춘 바 있다.
130,그러던 중에 두 분이 세컨 하우스에 대한 로망이 있으시다는 얘기를 들어 제안하게 됐다.
131,두 분의 바람이 ‘세컨 하우스’를 통해 이뤄지길 바라면서 시청자분들께서도 국민 잉꼬부부의 일상을 즐겁게 봐주시길 바란다.
132,두 분이 요즘 여러 드라마를 통해서 왕성하게 활동하고 계신 만큼 또 다른 휴식이 필요하시지 않을까 싶다.
133,프로그램 초반부는 설계부터 건축 허가 등 빈집의 리모델링 그 자체에 대한 과정이 중점적으로 다뤄진다.
134,우여곡절 끝에 출연자분들이 깊숙하게 참여해 직접 부딪히는 모습을 보실 수 있다.
135,전원생활을 촬영하는 여러 프로그램이 출연자들의 관찰로 구성되는 경우가 많은데 저희는 일상뿐 아니라 그 집이 속한 마을 전체의 이야기라고 보시면 좋을 거 같다.
136,공동체가 함께 살아가는 모습을 출연자분들의 따뜻한 시선으로 전할 예정이다.
137,그리고 방송을 위해서는 집을 둘러싼 마을에 많은 이야깃거리가 있으면 좋겠다고 생각했다.
138,저희 프로그램은 세컨 하우스가 그 속에서 살아가는 사람들과 생명을 얻게 되는 과정이다.
139,텃밭을 가꾸어 직접 반찬을 만들어 먹거나 닭을 키우며 달걀을 얻고 근처 저수지나 바다에서 낚시로 얻는 재료로 한 끼 식사를 해결해 보기도 하는 등의 다양한 모습을 보실 수 있다.
140,바라만 보고 있어도 힐링이 되는 마을 전경을 보며 차 한 잔의 여유를 느끼는 진정한 휴식을 만날 수 있을 것 같다.
141,마을 잔치를 열어 동네 분들과 함께 어우러지는 모습 친구들을 초대해서 함께 이야기하고 쉴 수 있는 출연자들의 체취와 손때가 가득한 집으로 완성되는 과정도 보실 수 있다.
142,예를 들어 시골 빈집이 어떤 정책적인 지원을 받을 수 있는지 법률적으로 고려해야 할 부분들은 무엇인지 등 빈집을 리모델링하는 과정의 꿀팁을 얻으실 수 있다.
143,이미 빈집 문제는 많은 지자체들의 중요한 이슈 중에 하나기 때문에 각 지자체 별로 활용방안들이 다양하게 있다.
144,혹시 그 집을 세컨 하우스로 활용하시고 싶으신 분들은 저희 프로그램 꼭 보시기를 바란다.
145,귀농이나 귀촌 등을 꿈꾸시는 분들 역시 저희 프로그램 통해 많은 정보를 얻으실 수 있을 거 같다.
146,뉴스엔 이슬기 기자 ‘그로신’ 한가인이 별자리에 관심 많은 딸을 언급해 시선을 끈다.
147,이날 ‘스토리텔러’ 설민석은 “드디어 제우스가 인간과 사랑을 나눈다면서 “반신반인으로 태어난 이를 ‘영웅’이라고 부른다고 정의한 뒤 페르세우스 이야기를 시작한다.
148,특히 그는 페르세우스가 메두사의 목을 벤 모험담부터 안드로메다와 운명적 사랑에 빠져 바다괴물을 물리치고 수많은 역경 끝에 진정한 영웅으로 거듭나는 과정을 온몸으로 열연해 모두를 몰입시킨다.
149,나아가 설민석은 “페르세우스가 살던 그 작은 요새가 점점 커져 티린스까지 다 합병 미케네 문명의 시작이 됐다.
150,그 성벽이 유네스코 문화유산으로 지정이 된 것이라고 덧붙여 지금도 남아 있는 신화의 흔적을 알려줘 놀라움을 자아낸다.
151,페르세우스의 대서사시에 푹 빠진 한가인은 “우리 딸이 별 학교에 다니는데 이번 방송의 주인공이 페르세우스라는 걸 알고 이걸 줬다며 갑자기 별자리 부채를 보여준다.
152,한가인은 “이 부채 안에 페르세우스 안드로메다 커플은 물론 페가소스 카시오페이아(안드로메다 엄마)가 다 있다며 반가워한다.
153,유병재 역시 “우리가 알고 있는 이야기가 다 신화에서 시작된 것이냐면서 “이렇게 원류를 찾아보면 그리스 로마 신화 만한 이야기가 없음을 알게 된다고 감탄을 연발한다.
154,웹 예능이 TV 예능프로그램 못지않은 파급력을 지니게 되면서 웹 예능 광고료 또한 상승했다.
155,코카콜라 아모레퍼시픽 등 이름만 대면 알 만한 기업들도 미노이의 요리조리를 통해 광고에 나섰다.
156,래퍼 이영지가 출연하는 차린 건 쥐뿔도 없지만도 최근 가장 주목받는 웹 예능이다.
157,방송인 이용진이 진행하는 튀르키예즈 온 더 블럭도 광고주들이 선호하는 웹 예능이다.
158,미노이의 요리조리에는 이정재 정우성이 출연해 화제를 모았고 정유미 김고은 이동욱 라미란 김무열 등이 출연한 바 있다.
159,이들 가운데서는 새 영화 개봉이나 새 앨범 발매 등 홍보를 위해 광고료를 지급하고 웹 예능에 출연하기도 한다.
160,이에 관해 한 연예 관계자는 비용을 많이 낸다고 해서 광고를 할 수 있는 것도 아니다.
161,그럼에도 젊은 시청자들에게 어필하기 위해서는 인기 웹 예능 광고가 효과적이다고 전했다.
162,뉴스엔 황혜진 기자 가수 모나(MONA)가 SBS 다큐 예능 ECO 아일랜드 천사도에서 로고송을 열창했다.
163,‘바다’는 평소 자연 환경 문제에 관심이 많아 제로웨이스트를 실천하고 있던 모나가 노래는 물론 작사 작곡 편곡까지 맡아 완성한 노래다.
164,모나는 부드러운 일렉 기타 사운드 위에 감미로운 목소리를 더해 환경을 위한 메시지를 던졌다.
165,모나는 해양쓰레기에 대한 메시지를 주는 아티스트들의 작업을 지원사격하며 환경에 대해 한 번 더 생각하게 됐다는 후문이다.
166,한편 ECO 아일랜드 천사도에는 모나 이외에도 배우 박진희와 방송인 홍석천 아나운서 김기혁 해양생태학자 김종성 교수 버려진 물건이나 해양쓰레기를 업사이클링해 전시하는 정크아티스트 양쿠라와 사진작가 김정대 회화작가 윤송아 일러스트레이터 김기범 등이 참여했다.
167,최종회에서는 출연자들의 마지막 선택이 그려졌고 현재 이들의 모습까지 공개되는 등 연애 예능으로는 그동안 만나보지 못했던 결말까지 그려지기도.
168,그동안 시청자들의 관전포인트이자 관심사였던 성해은의 러브라인 그리고 이나연과 남희두의 선택 등이 시원하게 담겨 호평 속에 종영을 맞이했다.
169,특히 이날 방송에서는 긴 연애를 해왔던 성해은과 정규민이 애틋하고 성숙하게 이별을 맞이하고 정현규와의 새로운 사랑을 찾는 모습 등도 섬세하게 그려졌고 이나연과 남희두는 과거의 자신의 행동들을 반성하고 다시 한 번 실수를 반복하지 않고 재회할 것을 약속하며 마무리했다.
170,박나언과 김태이는 서로를 위한 건강한 관계로 남아 시청자들의 마음을 훈훈하게 만들었다.
171,그동안 시청자들의 조롱과 놀림 그리고 비판의 대상이 됐던 정규민이 성해은을 밀어냈던 이유 등이 밝혀지며 시청자들을 납득시켰고 박원빈과 김지수의 성숙한 이별도 시청자들의 마음을 울렸다.
172,이뿐만 아니라 현재 성해은과 정현규가 사랑을 키워나가고 있음을 보여주는 사진과 영상 그리고 남희두와 이나연 박나언과 김태이 등의 현재 모습이 공개되며 지금까지 볼 수 없던 연애 예능에서의 명쾌한 결말까지 그려내 용두용미 드라마보다 더 드라마라는 시청자들의 호평까지 받아낼 수 있었다.
173,다만 최종회를 앞두고 벌어졌던 스트리밍 시간 연기 사태 등은 오점으로 남기도.
174,스포일러 피하려고 반차까지 썼다 유료 스트리밍 서비스의 이용자들을 무시한 행보라는 등의 시청자들의 불만과 비판을 피할 수는 없었다.
175,매 회마다 스트리밍 회차를 통보하는 방식 그리고 돌연 게재됐던 동영상을 내리고 다음 날 오전 재공개했던 일 등이 다시 회자되며 시청자들의 불평을 받아야 하기도.
176,비록 최종회에 앞서 시청자들의 비판을 피할 수 없는 사태가 발생하기는 했지만 최종회를 감상한 뒤 시청자들에게 다시 레전드 예능이라는 찬사를 받는 중.
177,유성구 재난안전과 김은혜 주무관의 산문부문 출품작 ‘비늘’이 대상을 차지했다.
178,대상을 차지한 ‘비늘’은 심사위원들로부터 “등단할 정도의 작품이라는 평가를 받았다.
179,이장우 시장은 “수상작 모두 저마다의 개성을 멋지게 보여주고 있다며 “직원들의 자기개발과 여가활동 지원을 더욱 강화하겠다고 말했다.
180,/사진제공샌드박스네트워크크리에이터 빠니보틀이 첫 지상파 여행 예능에 도전한다.
181,유튜브 채널 빠니보틀을 운영 중인 인기 여행 크리에이터 빠니보틀은 태어난 김에 세계일주를 통해 첫 지상파 예능에 출연하게 됐다.
182,현재는 국내 여행으로도 영역을 넓혀 시골 여행 한국에서 맛보는 세계 등 다양한 콘텐츠를 선보이고 있다.
183,또한 최근 국내 웹 드라마 최초 칸에 진출한 좋좋소의 총감독을 맡아 제작자로서 능력도 인정받았다.
184,사진KBS 제공 그중 레시피 여왕 박솔미는 ‘부미녀(부속물에 미치는 여자)’라는 별명에 걸맞게 신선한 한우 선지로 놀라운 요리를 만든다.
185,특히 이 과정에서 원조 조각미남인 남편 한재석과의 달달하면서도 코믹한 일상이 공개된다.
