,sentence
99,JAPAN한 남자 아이돌 연습생 출신 남성이 전 소속사 대표의 충격 비하인드를 폭로한 내용이 재조명되고 있다.
100,마에다 코키는 인터뷰를 통해 쟈니스 창업자 쟈니 키타가와의 충격적인 성추행을 언급하며 놀라움을 자아냈다.
101,마에다 코키는 쟈니 키타가와는 동성애자였다라며 쟈니와 성관계를 하면 데뷔를 할 수 있는 특권을 누릴 수 있었다.
102,마에다 코키는 이어 이것이 성추행인지 아닌지는 확실히 알 수 없지만 멤버듣과 쟈니 키타가와 사이 성적인 관계가 있었던 것은 확실하다라고 폭로하기도 했다.
103,(여자)아이들 펜타곤 에이비식스 골든차일드 라잇썸 퍼플키스 등 유명 아이돌들이 출동해 화려한 무대를 선보인다.
104,이번 행사에는 방탄소년단 RM 제이홉 고현정 김영광 김영대 김우빈 김재영 김지석 김호영 나나 로운 몬스타엑스 민혁 몬스타엑스 형원 문가영 미주 박진영 박희정 배정남 변요한 산다라박 새소년 샤이니 키 선미 손영재 신시아 신현지 아이린 아이즈원 안유진 안효섭 엘리스 에스파 닝닝 위하준 유아인 이민정 이수혁 이재욱 이호정 장윤주 전종서 제시 지창욱 지코 차은우 한예리 혜리 마마무 화사 DJ 레이든 JAY BDJ 레이든 JAY B 등이 참석했다.
105,출처ㅣ황재균 인스타그램 캡처스포티비뉴스강효진 기자 야구선수 황재균이 예비신부 지연의 혹독한 트레이닝에 나섰다.
106,흰 반팔티와 레깅스 검은 모자를 쓰고 힘겹게 기계 위를 오르내리는 지연의 모습이 인상적이다.
107,결혼을 앞둔 예비신부에게도 봐주는 일 없이 혹독한 트레이닝에 나선 운동선수의 프로페셔널함이 엿보인다.
108,글로벌 아티스트 방탄소년단(BTS)의 뷔가 일본에도 저력을 과시하고 있다.
109,일본의 대형서점 ‘츠타야’는 가장 눈에 띄는 위치에 뷔의 보그코리아를 배치해 대대적인 홍보에 나서고 있다.
110,아이돌뿐만 아니라 배우 예능인 모델 등 빛나는 존재감을 발휘하고 있는 뷔가 일본에서도 폭발적인 인기를 보여주고 있다.
111,김태균 이장준은 “자기야 춥지 않아?라는 질문에 극과 극 답변을 내놓고 김민정이 “‘아이둘 아빠’와 ‘아이돌 오빠’의 차이다라고 정리해 감탄을 자아낸다.
112,로또 계획이다라고 주장하고 이를 들은 이장준이 “제비코인?이라고 거들어 폭소를 유발한다.
113,(엑스포츠뉴스 오승현 인턴기자) 슈퍼맨이 돌아왔다 찐건나블리가 분장을 한 채 방송국을 돌아다니며 핼로윈을 즐겼다.
114,이들은 가수 혜은이의 대기실에 방문헤 Trick or treat라고 외치며 사탕을 건넸다.
115,이에 혜은이는 이렇게 선물을 받았는데 그냥 빈손으로 보내면 안된다며 직접 준비한 용돈 봉투를 전해 눈길을 끌었다.
116,진우는 낯을 가려 박주호의 뒤에 숨어있다가 용돈을 받자 그제야 사탕을 선물해 웃음을 자아냈다.
117,이를 들은 육중완과 소유진은 아이돌 인사 아니냐 가수 선배에게 인사하는 것 같다며 감탄했다.
118,신동엽은 아이들을 보고 세상에서 아이들과 동물들을 제일 좋아하는 삼촌이다라며 아이들을 한 번 씩 안아 놀아줬다.
119,신동엽은 아이들에게 용돈을 좀이라며 방송에서 돈 주면 안되냐고 꾀를 부려 웃음을 자아냈다.
120,이어 이들은 DJ 이금희를 만나기 위해 보이는 라디오 쉬는 시간에 부스를 습격했다.
121,JYP엔터테인먼트 제공JYP엔터테인먼트 아이돌 밴드 엑스디너리 히어로즈(Xdinary Heroes XH) 멤버 가온이 만화를 찢고 나온 비주얼로 컴백 설렘 지수를 높였다.
122,이를 앞두고 스포일러 이미지 스케줄러 트랙리스트 인스트루멘털 샘플러 등 독특한 신보 콘셉트 풀 밴드 매력을 한껏 살린 티징 콘텐츠를 차례로 공개하고 있다.
123,곰인형을 테이블 건너편에 앉혀 두고 취조를 하거나 낡은 소파에 나란히 앉아 시간을 보내는 등 장난꾸러기 면모를 보여줬다.
124,)의 솜사탕 헤어에 이어 이번에는 강렬한 레드 컬러로 스타일 변신에 나서 시선을 붙잡았다.
125,JYP엔터테인먼트 제공붉은 장미꽃과 함께한 사진에서는 심쿵 눈맞춤을 선사해 보는 이들을 설레게 했다.
126,JYP엔터테인먼트 제공미니멀한 사운드부터 시원하게 터지는 구간까지 록 밴드의 짜릿한 에너지를 전할 예정이다.
127,이름을 내건 엑디즈 최초의 단콘에서 뛰어난 악기 연주 보컬 실력을 뽐내고 ‘Z세대 대표 K밴드’ ‘실력파 신예 밴드’ 수식어를 증명한다.
128,(여자)아이들-르세라핌-엔플라잉입대 앞둔 BTS의 진은 솔로 데뷔‘연말 아이돌 대전’이 시작됐다.
129,에스파 뉴진스 아이브 블랙핑크 등 올여름부터 가요계를 달군 걸그룹부터 최근 앞다퉈 컴백한 남자 아이돌까지 연말 가요계는 아이돌 그룹의 신곡으로 성찬이 차려질 예정이다.
130,르세라핌의 신곡 ‘안티프래자일’은 시련을 마주할수록 더 성장하겠다는 내용이다.
131,FNC엔터테인먼트 제공남매 듀오 ‘악뮤’의 이찬혁은 죽음을 소재로 한 첫 솔로앨범 ‘에러’를 선보였다.
132,한 연예기획사 관계자는 “엔데믹에 접어든 데다 연말 시상식을 앞두고 있어 아이돌 가수들이 콘서트를 다시 정상적으로 열 계획을 갖고 속속 컴백하고 있다고 말했다.
133,한편 스타랭킹은 팬들이 직접 자신의 최애 스타에 투표해 순위를 결정하는 랭킹 투표다.
134,이날 범주는 스페셜 게스트로 등장해 백호와 진행자 자리를 놓고 벌이는 승부를 펼쳤다.
135,이어 백호는 범주와의 관계에 대해 “인생의 많은 부분을 함께 하는 공유하는 사이라며 친분을 과시했다.
136,방탄소년단(BTS) 멤버 중 제이홉에 이어 두 번째로 솔로곡을 발매하는 진 전곡을 자작곡으로 채운 실력파 보이밴드 엔플라잉의 컴백이 K팝 팬들의 기대감을 높이고 있다.
137,빅히트 뮤직 제공  남자 아이돌의 경우 솔로부터 밴드까지 다채로운 컴백이 이어지고 있다.
138,이 곡에는 BTS와 지난해 협업곡 ‘마이 유니버스’를 발매한 바 있는 영국 인기 밴드 콜드플레이가 공동 참여했다.
139,이찬혁은 타이틀곡 ‘파노라마’ 무대에서 삭발을 하거나 무대 정면에서 등을 진 채 노래하는 등의 신선한 행보로 연일 화제가 되고 있다.
140,‘망했다’라는 외침으로 시작되는 타이틀곡 ‘폭망’은 상대방을 좋아하는 마음을 더 이상 참을 수 없는 상황을 ‘폭망했다’는 재치있는 가사로 표현했다.
141,방탄소년단(BTS)의 군입대가 공식화된 가운데 BTS의 공백을 메울 것으로 기대되는 그룹은 JYP의 스트레이 키즈.
142,가수 권진아의 신곡 진심이었던 사람만 바보가 돼 듀엣 챌린지 열풍이 화제다.
143,먼저 권진아가 발매 당일 공식 SNS를 통해 챌린지 영상을 게재하며 스타트를 끊었다.
144,해당 영상에서 권진아는 진심이었던 사람만 바보가 돼 하이라이트 부분의 화음을 불러 참여를 독려했다.
145,이후 우주소녀(WJSN) 설아 엔믹스(NMIXX) 릴리 비비지(VIVIZ) 은하?엄지 이달의 소녀(LOONA) 이브 위키미키(Weki Meki) 지수연?최유정 등 여자 아이돌을 포함하여 방송인 재재와 박문치 헤이즈 쏠(SOLE)까지 동료 아티스트들의 지원사격으로 큰 화제를 모았다.
146,최근 주로 안무로 진행되는 챌린지와는 달리 목소리를 활용한 듀엣 챌린지라는 점에서 많은 호평을 받고 있다.
147,권진아의 목소리와 챌린지에 참여한 각 아티스트가 완벽한 합을 완성하며 대중들의 귀를 사로잡았다.
148,또한 실제로 권진아가 화음을 넣어주니 노래를 잘 못해도 잘하는 것처럼 들린다며 일반인들의 자발적인 참여까지 더해져 진사바 듀엣 챌린지 열풍이 이어지고 있다.
149,권진아의 신곡 진심이었던 사람만 바보가 돼는 이별을 겪어본 사람이라면 누구나 공감할 수 있는 섬세한 감성과 직설적인 표현의 가사가 인상적인 권진아 표 이별 발라드이다.
150,권진아가 직접 작사 작곡 프로듀싱에 참여해 자신에게 딱 맞는 맞춤형 음악으로 탄생 권진아의 매력을 흠뻑 느낄 수 있다.
151,한편 권진아의 새 디지털 싱글 진심이었던 사람만 바보가 돼는 각종 음원 사이트를 통해 만나 볼 수 있다.
152,뜨겁게 안녕은 인생에서 또 다른 국면을 맞이한 게스트들이 안녕하우스에 방문해 가장 아름답고 뜨거운 이별 그리고 새 출발을 하는 공감 리얼리티 예능이다.
153,호스트이자 안녕지기로 활약할 세 사람은 안녕하우스를 찾아온 게스트들에게 정성 가득한 힐링 푸드를 대접하고 그들의 고민을 함께 끌어안고 위로와 공감을 건넬 예정이다.
154,이날 미팅 장소에 도착한 황제성은 먼저 와 있던 은지원을 반기며 형은 왜 살이 안 쪄?
155,뒤이어 유진이 등장해 은지원에 오빠 안녕하세요라고 하고 이에 은지원은 당황하며 엇 안녕하세요.
156,유진은 바로 수긍한 뒤 S. E. S. 활동 이후 처음 보는 것 같다고 떠올린다.
157,유진은 제가 예능을 거의 안 해서 그런 것 같다면서도 우리 프로그램은 예능이지만 좀 다른 것 아니냐라며 뜨겁게 안녕에 대한 기대와 애정을 드러낸다.
158,실제로 유진은 첫 게스트가 소아조로증 홍원기 가족임을 알게 되자 홍원기의 팬임을 밝히며 그를 위한 음식과 이벤트를 준비한다.
159,또한 유진은 과거 한 다큐멘터리에 출연한 홍원기를 보고 깊은 인상을 받았다며 홍원기가 유튜브 활동을 한다고 해서 직접 영상을 찾아봤다고 해 홍원기 가족의 마음을 활짝 열게 만든다.
160,모처럼 방송에 출연한 홍원기가 스무살 생일을 꿈꾸는 모습과 특별한 안녕을 하고픈 자신만의 물건을 하이바이 박스에 담아 보낸다.
161,홍원기가 뜨겁게 안녕을 고할 물건이 무엇일지 홍원기 가족의 이야기에 애정 어린 관심 부탁드린다고 밝혔다.
162,일본의 유명 아이돌 기획사를 탈퇴한 남자 연습생의 폭로가 공개돼 충격을 주고 있다.
163,그는 일본에서 유명 아이돌 기획사로 알려진 쟈니스와 정식 계약을 하고 연습생으로 활동한 쟈니스 주니어 출신이다.
164,코키는 인터뷰에서 쟈니스 창업자의 성추행 혐의를 묻는 질문에 내가 말할 수 있는 것은 기획사 대표 키타가와가 동성애자라는 사실과 데뷔를 결정하는 권한을 갖고 있다는 것이라며 이것이 성추행인지에 대한 확신은 없으나 몇몇 연습생들과 대표사이에 관계가 있었던 것은 확실하다고 답했다.
165,한편 스타랭킹은 팬들이 직접 자신의 최애 스타에 투표해 순위를 결정하는 랭킹 투표다.
166,한편 스타랭킹은 팬들이 직접 자신의 최애 스타에 투표해 순위를 결정하는 랭킹 투표다.
167,SBS 딱 한 번 간다면 캡처헤럴드POP이유진기자임지연이 한예종 동기인 수호에게 직설 화법을 날렸다.
168,이날 방송에는 한예종을 졸업한 연예계 친구들이 모여 옛 추억을 나누는 시간을 가졌다.
169,임지연은 수호가 노래를 부르자 준면이 그때는 노래를 잘하지는 않았잖아라고 직설적으로 말해 웃음을 자아냈다.
170,이날 출연한 리콜녀는 케이블 방송에서 앵커(뉴스진행자)를 하고 있는 인물.
171,그는 전 연인에 대해 헤어지자고 한 적이 없는데 헤어진 사이라고 소개하면서 정리도 좀 하고 싶고 솔직한 X(전 연인)의 생각을 들어보고 싶고 제 자신을 알아보고 싶은 시간을 가지고 싶었다라고 출연 이유를 밝혔다.
172,특히 리콜녀는 전 연인의 직업에 대해 유명 보이그룹의 멤버라고 말해 눈길을 끌었다.
